embedding_dimension,max_sequence_length,number_of_attention_heads,number_of_blocks,dropout_rate,learning_rate,number_of_epochs,batch_size,time_bucket_count,profitability_hidden_dimension,loss_lambda,inference_alpha,average_ndcg,average_roi
64,50,2,2,0.2,0.001,200,128,256,32,0.1,0.3,0.05830381113441537,0.06491449412489238
64,50,2,2,0.2,0.001,200,128,256,32,0.1,0.5,0.1864690229457807,0.019623990468376
64,50,2,2,0.2,0.001,200,128,256,32,0.1,0.7,0.3028120175998504,-0.010675695942333136
64,50,2,2,0.2,0.001,200,128,256,32,0.5,0.3,0.11910320446691963,0.03793731249604714
64,50,2,2,0.2,0.001,200,128,256,32,0.5,0.5,0.2504471626327466,0.007330469170952057
64,50,2,2,0.2,0.001,200,128,256,32,0.5,0.7,0.3399658618421239,-0.02766170429609716
64,50,2,2,0.2,0.001,200,128,256,32,1.0,0.3,0.054506865340515055,0.06839948965240483
64,50,2,2,0.2,0.001,200,128,256,32,1.0,0.5,0.21041212406498144,0.019819124308958817
64,50,2,2,0.2,0.001,200,128,256,32,1.0,0.7,0.3275243203598124,-0.021969733338229946
64,50,2,2,0.2,0.001,200,128,256,64,0.1,0.3,0.05012006495448753,0.08172583409695876
64,50,2,2,0.2,0.001,200,128,256,64,0.1,0.5,0.2060886102378301,0.02054175533054826
64,50,2,2,0.2,0.001,200,128,256,64,0.1,0.7,0.33406996778649717,-0.023892398253025
64,50,2,2,0.2,0.001,200,128,256,64,0.5,0.3,0.1236561217178334,0.04763612125011979
64,50,2,2,0.2,0.001,200,128,256,64,0.5,0.5,0.19330445493096748,0.026589273509833422
64,50,2,2,0.2,0.001,200,128,256,64,0.5,0.7,0.336348970671647,-0.025148206455628475
64,50,2,2,0.2,0.001,200,128,256,64,1.0,0.3,0.13580600468353302,0.026224681800107744
64,50,2,2,0.2,0.001,200,128,256,64,1.0,0.5,0.22286108814908237,0.013571087228327035
64,50,2,2,0.2,0.001,200,128,256,64,1.0,0.7,0.32066016301634376,-0.0225408200824762
